Inches,Pixels,Kicker,Shooter,Hood,TOF
59.9,414,6039,6903,1699,0.899
60.2,413,6039,6898,1700,0.899
60.4,412,6039,6894,1701,0.900
60.7,411,6040,6890,1702,0.901
60.9,410,6040,6888,1703,0.902
61.1,409,6040,6886,1704,0.902
61.4,408,6040,6885,1706,0.903
61.6,407,6040,6885,1707,0.904
61.8,406,6040,6886,1708,0.905
62.1,405,6040,6887,1709,0.905
62.3,404,6040,6889,1710,0.906
62.6,403,6040,6891,1712,0.907
62.8,402,6039,6894,1713,0.908
63.1,401,6039,6897,1714,0.908
63.3,400,6039,6900,1715,0.909
63.5,399,6039,6904,1717,0.910
63.8,398,6038,6909,1718,0.911
64.0,397,6038,6913,1719,0.911
64.3,396,6038,6918,1721,0.912
64.5,395,6038,6924,1722,0.913
64.8,394,6038,6929,1723,0.914
65.0,393,6039,6935,1725,0.915
65.3,392,6039,6940,1726,0.915
65.5,391,6040,6946,1727,0.916
65.8,390,6040,6953,1729,0.917
66.0,389,6041,6959,1730,0.918
66.3,388,6042,6965,1732,0.919
66.6,387,6043,6971,1733,0.919
66.8,386,6045,6978,1735,0.920
67.1,385,6046,6984,1736,0.921
67.3,384,6047,6991,1738,0.922
67.6,383,6049,6997,1739,0.923
67.9,382,6051,7004,1741,0.923
68.1,381,6053,7010,1742,0.924
68.4,380,6055,7016,1744,0.925
68.7,379,6057,7023,1745,0.926
68.9,378,6059,7029,1747,0.927
69.2,377,6061,7035,1748,0.928
69.5,376,6063,7041,1750,0.928
69.8,375,6065,7047,1752,0.929
70.1,374,6068,7053,1753,0.930
70.3,373,6070,7059,1755,0.931
70.6,372,6072,7064,1757,0.932
70.9,371,6075,7070,1759,0.933
71.2,370,6077,7075,1760,0.934
71.5,369,6079,7080,1762,0.934
71.8,368,6082,7085,1764,0.935
72.1,367,6084,7090,1766,0.936
72.3,366,6086,7095,1767,0.937
72.6,365,6088,7100,1769,0.938
72.9,364,6090,7105,1771,0.939
73.2,363,6093,7109,1773,0.940
73.5,362,6095,7113,1775,0.941
73.8,361,6097,7117,1777,0.942
74.1,360,6099,7121,1779,0.943
74.5,359,6101,7125,1781,0.943
74.8,358,6103,7129,1783,0.944
75.1,357,6105,7133,1785,0.945
75.4,356,6106,7136,1787,0.946
75.7,355,6108,7139,1789,0.947
76.0,354,6110,7143,1791,0.948
76.3,353,6111,7146,1793,0.949
76.7,352,6113,7149,1795,0.950
77.0,351,6115,7152,1797,0.951
77.3,350,6116,7154,1799,0.952
77.6,349,6118,7157,1801,0.953
78.0,348,6119,7160,1804,0.954
78.3,347,6120,7162,1806,0.955
78.6,346,6122,7165,1808,0.956
79.0,345,6123,7167,1810,0.957
79.3,344,6124,7169,1813,0.958
79.7,343,6126,7172,1815,0.959
80.0,342,6127,7174,1817,0.960
80.4,341,6128,7176,1820,0.961
80.7,340,6129,7178,1822,0.963
81.1,339,6130,7180,1824,0.964
81.4,338,6132,7182,1827,0.965
81.8,337,6133,7184,1829,0.966
82.1,336,6134,7187,1832,0.967
82.5,335,6135,7189,1834,0.968
82.9,334,6136,7191,1837,0.969
83.2,333,6138,7193,1839,0.970
83.6,332,6139,7195,1842,0.971
84.0,331,6140,7197,1845,0.973
84.4,330,6141,7200,1847,0.974
84.7,329,6143,7202,1850,0.975
85.1,328,6144,7204,1853,0.976
85.5,327,6146,7207,1855,0.977
85.9,326,6147,7209,1858,0.978
86.3,325,6149,7212,1861,0.980
86.7,324,6150,7215,1864,0.981
87.1,323,6152,7217,1867,0.982
87.4,322,6154,7220,1870,0.983
87.8,321,6155,7224,1872,0.985
88.3,320,6157,7227,1875,0.986
88.7,319,6159,7230,1878,0.987
89.1,318,6161,7234,1881,0.988
89.5,317,6163,7237,1884,0.990
89.9,316,6166,7241,1887,0.991
90.3,315,6168,7245,1890,0.992
90.7,314,6171,7249,1893,0.994
91.1,313,6173,7254,1897,0.995
91.6,312,6176,7258,1900,0.996
92.0,311,6179,7263,1903,0.998
92.4,310,6182,7268,1906,0.999
92.9,309,6185,7273,1909,1.000
93.3,308,6188,7278,1913,1.002
93.7,307,6191,7284,1916,1.003
94.2,306,6195,7290,1919,1.004
94.6,305,6199,7296,1923,1.006
95.1,304,6202,7302,1926,1.007
95.5,303,6206,7309,1930,1.009
96.0,302,6210,7316,1933,1.010
96.4,301,6215,7323,1937,1.012
96.9,300,6219,7330,1940,1.013
97.4,299,6223,7338,1944,1.015
97.8,298,6228,7346,1947,1.016
98.3,297,6233,7354,1951,1.018
98.8,296,6238,7362,1955,1.019
99.3,295,6243,7371,1958,1.021
99.7,294,6248,7380,1962,1.022
100.2,293,6254,7389,1966,1.024
100.7,292,6259,7399,1970,1.025
101.2,291,6265,7409,1973,1.027
101.7,290,6271,7419,1977,1.029
102.2,289,6276,7430,1981,1.030
102.7,288,6282,7440,1985,1.032
103.2,287,6251,7385,1989,1.033
103.7,286,6257,7395,1993,1.035
104.2,285,6263,7406,1997,1.037
104.7,284,6269,7416,2001,1.038
105.3,283,6275,7427,2005,1.040
105.8,282,6282,7439,2010,1.042
106.3,281,6203,7303,2014,1.044
106.8,280,6208,7313,2018,1.045
107.4,279,6214,7323,2022,1.047
107.9,278,6221,7333,2027,1.049
108.5,277,6227,7344,2031,1.051
109.0,276,6234,7356,2035,1.052
109.6,275,6193,7287,2040,1.054
110.1,274,6200,7298,2044,1.056
110.7,273,6207,7310,2049,1.058
111.2,272,6214,7322,2053,1.060
111.8,271,6221,7334,2058,1.062
112.4,270,6229,7347,2062,1.064
113.0,269,6237,7360,2067,1.066
113.6,268,6245,7374,2072,1.067
114.1,267,6253,7388,2076,1.069
114.7,266,6261,7403,2081,1.071
115.3,265,6270,7418,2086,1.073
115.9,264,6175,7256,2091,1.075
116.5,263,6184,7271,2096,1.077
117.1,262,6193,7287,2101,1.079
117.8,261,6202,7303,2106,1.081
118.4,260,6212,7319,2111,1.083
119.0,259,6222,7336,2116,1.085
119.6,258,6233,7353,2121,1.088
120.3,257,6243,7371,2126,1.090
120.9,256,6254,7389,2131,1.092
