Inches,Pixels,Kicker,Shooter,Hood
60,414,6039,6903,1699
60,413,6039,6898,1700
60,412,6039,6894,1701
61,411,6040,6890,1702
61,410,6040,6888,1703
61,409,6040,6886,1704
61,408,6040,6885,1706
62,407,6040,6885,1707
62,406,6040,6886,1708
62,405,6040,6887,1709
62,404,6040,6889,1710
63,403,6040,6891,1712
63,402,6039,6894,1713
63,401,6039,6897,1714
63,400,6039,6900,1715
64,399,6039,6904,1717
64,398,6038,6909,1718
64,397,6038,6913,1719
64,396,6038,6918,1721
65,395,6038,6924,1722
65,394,6038,6929,1723
65,393,6039,6935,1725
65,392,6039,6940,1726
66,391,6040,6946,1727
66,390,6040,6953,1729
66,389,6041,6959,1730
66,388,6042,6965,1732
67,387,6043,6971,1733
67,386,6045,6978,1735
67,385,6046,6984,1736
67,384,6047,6991,1738
68,383,6049,6997,1739
68,382,6051,7004,1741
68,381,6053,7010,1742
68,380,6055,7016,1744
69,379,6057,7023,1745
69,378,6059,7029,1747
69,377,6061,7035,1748
69,376,6063,7041,1750
70,375,6065,7047,1752
70,374,6068,7053,1753
70,373,6070,7059,1755
71,372,6072,7064,1757
71,371,6075,7070,1759
71,370,6077,7075,1760
71,369,6079,7080,1762
72,368,6082,7085,1764
72,367,6084,7090,1766
72,366,6086,7095,1767
73,365,6088,7100,1769
73,364,6090,7105,1771
73,363,6093,7109,1773
74,362,6095,7113,1775
74,361,6097,7117,1777
74,360,6099,7121,1779
74,359,6101,7125,1781
75,358,6103,7129,1783
75,357,6105,7133,1785
75,356,6106,7136,1787
76,355,6108,7139,1789
76,354,6110,7143,1791
76,353,6111,7146,1793
77,352,6113,7149,1795
77,351,6115,7152,1797
77,350,6116,7154,1799
78,349,6118,7157,1801
78,348,6119,7160,1804
78,347,6120,7162,1806
79,346,6122,7165,1808
79,345,6123,7167,1810
79,344,6124,7169,1813
80,343,6126,7172,1815
80,342,6127,7174,1817
80,341,6128,7176,1820
81,340,6129,7178,1822
81,339,6130,7180,1824
81,338,6132,7182,1827
82,337,6133,7184,1829
82,336,6134,7187,1832
83,335,6135,7189,1834
83,334,6136,7191,1837
83,333,6138,7193,1839
84,332,6139,7195,1842
84,331,6140,7197,1845
84,330,6141,7200,1847
85,329,6143,7202,1850
85,328,6144,7204,1853
85,327,6146,7207,1855
86,326,6147,7209,1858
86,325,6149,7212,1861
87,324,6150,7215,1864
87,323,6152,7217,1867
87,322,6154,7220,1870
88,321,6155,7224,1872
88,320,6157,7227,1875
89,319,6159,7230,1878
89,318,6161,7234,1881
89,317,6163,7237,1884
90,316,6166,7241,1887
90,315,6168,7245,1890
91,314,6171,7249,1893
91,313,6173,7254,1897
92,312,6176,7258,1900
92,311,6179,7263,1903
92,310,6182,7268,1906
93,309,6185,7273,1909
93,308,6188,7278,1913
94,307,6191,7284,1916
94,306,6195,7290,1919
95,305,6199,7296,1923
95,304,6202,7302,1926
96,303,6206,7309,1930
96,302,6210,7316,1933
96,301,6215,7323,1937
97,300,6219,7330,1940
97,299,6223,7338,1944
98,298,6228,7346,1947
98,297,6233,7354,1951
99,296,6238,7362,1955
99,295,6243,7371,1958
100,294,6248,7380,1962
100,293,6254,7389,1966
101,292,6259,7399,1970
101,291,6265,7409,1973
102,290,6271,7419,1977
102,289,6276,7430,1981
103,288,6282,7440,1985
103,287,6289,7452,1989
104,286,6295,7463,1993
104,285,6301,7475,1997
105,284,6307,7487,2001
105,283,6314,7499,2005
106,282,6320,7511,2010
106,281,6288,7451,2014
107,280,6295,7463,2018
107,279,6301,7475,2022
108,278,6308,7488,2027
108,277,6315,7501,2031
109,276,6322,7514,2035
110,275,6328,7528,2040
110,274,6335,7542,2044
111,273,6342,7556,2049
111,272,6349,7571,2053
112,271,6356,7586,2058
112,270,6363,7601,2062
